Ward,Registered Voters,Votes Cast,Percent Turnout,PollingPlace,MailIn
1,13385,6788,50.71,5389,1399
2,21363,11184,52.35,8523,2661
3,13692,4531,33.09,3558,973
4,13771,4079,29.62,3205,874
5,40979,16438,40.11,11651,4787
6,10397,2991,28.77,2420,571
7,12103,1614,13.34,1377,237
8,38414,15930,41.47,10672,5258
9,12585,7692,61.12,5455,2237
10,17065,6622,38.8,4788,1834
11,9548,2355,24.66,1887,468
12,15476,5008,32.36,3976,1032
13,13723,4077,29.71,3181,896
14,7315,2392,32.7,1876,516
15,15392,8238,53.52,5987,2251
16,7809,1720,22.03,1428,292
17,15311,5102,33.32,3866,1236
18,17143,7271,42.41,5869,1402
19,8874,1606,18.1,1409,197
20,9205,2021,21.96,1691,330
21,37003,17535,47.39,12933,4602
22,17560,9423,53.66,6729,2694
23,14677,3184,21.69,2608,576
24,12744,3590,28.17,2963,627
25,13621,3431,25.19,2869,562
26,14117,5917,41.91,4939,978
27,21405,5492,25.66,4731,761
28,7905,2103,26.6,1789,314
29,9742,3707,38.05,2916,791
30,16131,7633,47.32,5566,2067
31,14666,6345,43.26,5224,1121
32,14663,3692,25.18,3159,533
33,13472,2175,16.14,1774,401
34,26133,9963,38.12,7853,2110
35,18693,5219,27.92,4222,997
36,24826,10059,40.52,7925,2134
37,9330,1948,20.88,1673,275
38,13393,5451,40.7,4122,1329
39,26234,10625,40.5,8472,2153
40,29136,8459,29.03,6620,1839
41,12786,3123,24.43,2550,573
42,16261,3598,22.13,2960,638
43,12554,2346,18.69,1947,399
44,9949,2709,27.23,2121,588
45,15139,4664,30.81,3963,701
46,16251,7292,44.87,5692,1600
47,8043,2024,25.16,1689,335
48,13049,4482,34.35,3478,1004
49,15660,4879,31.16,3733,1146
50,19051,8917,46.81,6137,2780
51,15100,4805,31.82,3720,1085
52,17841,7209,40.41,5330,1879
53,12838,3701,28.83,2930,771
54,8946,2054,22.96,1593,461
55,12906,3399,26.34,2709,690
56,21231,6355,29.93,4655,1700
57,17003,6659,39.16,5146,1513
58,28071,9924,35.35,7282,2642
59,15335,5621,36.65,4256,1365
60,13552,4603,33.97,3616,987
61,17512,5870,33.52,4537,1333
62,15860,3668,23.13,2970,698
63,15365,6910,44.97,5316,1594
64,8673,2782,32.08,2078,704
65,14430,5437,37.68,4288,1149
66,28379,12025,42.37,9780,2245